@relation ChordsWithoutGenre

C7, Em, F, Am, G, C7, Am, G
C, G, Am, F, F7, C, G, Am
C, F, G, C, F, G, C, F
Em, Dm, C, C, Fb, Am, Dm, E7
Dm, G, Am, Bm, C, Dm, F, G
F, F, F7, F7, F, F, F, F7
Em, B#, Em, B#, Em, G, A#, Am
C7, Fb, C7, C7, Cb, F7, C7, F7
G, G, G#, F, G, G#, G, G#
C, F, C, C, Am7, F, E7, A
C, G, F, Am, G, F, C, G
Fm, E7, Am, Em7, Dm7, G, G, G
F, C, F, C, F, C, Em, F
C, F, Gm, F, Eb, F, Eb, C
C, Dm7, C, F, Bm7, E7, Am7, G
C, G, C, Am, F, G7, G, C
F, Am, F, Am, Am, F, Am, Am
C, Am, F, G, C, Am, F, G
C#, C#, C#, C#, G#, G#, G#, G#
C, C, C, C, G#, C, C, C#
C, C7, F, Fm, C, C7, F, Fm
C, Dm, G, F, C, Em, Am, D
C, Am, F, C, Am, F, C, G
C, C, C, C, C, C, F, G
C7, C7, C, C7, C, C7, C7, F
C, F, G, C, F, C, F, G
C, G#, Am, F, C, G#, Am, F#
Gm, G, Gm, G, F, Dm, Gm, G
F, F, Dm, C, Am, F, F, Dm
C, D7, F, C, C, D7, F, C
Dm7, Fm, C, G, F, C, Dm7, Fm
C, G, F, C, Dm, Fm, C, C
C, F, C, F, G7, Dm, G, Dm
C, G, Am, F, C, G, C, C
Am, E#, Am, E#, F, F, Am, E#
C, C, C, C, C, Em, F, C
C, Dm, Em, G, C, C, Dm, Em
C, C, C, C, C, C, C, C
C, F, G, C, F, G, C, F
C, F, C, F, C, F, Am, G
G, Em, C, G, Em, C, G, Em
Am, D, Am, D, Am, Dm, G, Dm
Dm, F, G, Dm, F, G, G#, G
F, C, Am, F, C, Am, F, C
E#, Dm, B#, Am, E#, Dm, B#, Am
