'Am', 'C', 'F', 'C', 'F', 'C', 'G', 'Am'
'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C'
'Am', 'C', 'Dm', 'A#', 'F', 'Dm', 'C', 'F'
'Am', 'C', 'G', 'F', 'Am', 'C', 'G', 'F'
'Am', 'Dm', 'Am', 'C', 'G', 'Am', 'Em', 'F'
'C', 'A#', 'C', 'F', 'F', 'F', 'F', 'F'
'C', 'G', 'F', 'G', 'G7', 'C', 'Em', 'G'
'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C'
'C', 'F', 'C', 'F', 'C', 'C', 'F', 'C'
'C', 'Am', 'C', 'F', 'Em', 'Dm', 'C', 'G'
'C', 'G', 'C', 'G', 'C', 'G', 'C', 'G'
'E', 'G', 'G', 'G', 'G7', 'G7', 'G', 'F'
'C', 'F', 'F', 'G', 'F', 'F', 'G', 'C'
'Dm', 'C', 'Dm', 'Dm', 'C', 'Dm', 'Dm', 'F'
'C', 'G', 'C', 'G', 'C', 'C', 'Dm7', 'E7'
'C', 'G', 'F', 'G', 'C', 'Dm', 'C', 'E7'
'Am', 'Dm', 'G', 'C', 'Am', 'F', 'E7', 'Am'
'C', 'Fb', 'A', 'C', 'Am', 'G7', 'Gm7', 'Dm'
'G', 'Cb', 'G', 'Cb', 'G', 'Em', 'G', 'Em'
'C', 'G', 'F', 'F', 'C', 'C', 'C7', 'F'
'C', 'Am', 'F', 'G7', 'C', 'Am', 'G7', 'G7'
'G', 'C', 'F', 'C', 'A', 'Dm', 'Am', 'G'
'F', 'F', 'F', 'F', 'G', 'A#', 'F', 'A#'
'C', 'D', 'Dm', 'F', 'F', 'G', 'C', 'Am'
'F', 'Dm', 'Am', 'F', 'G', 'C', 'Dm', 'Dm7'
'Em', 'Am', 'Em', 'Am', 'Em', 'B7', 'Em', 'Am'
'C', 'F', 'Gm', 'E', 'D', 'E', 'D', 'E'
'Em', 'Am', 'F', 'G', 'F', 'G', 'Am', 'G'
'Am', 'F7', 'Dm', 'E7', 'Am', 'Dm', 'E7', 'D#m'
'C', 'Dm7', 'G7', 'A', 'F', 'A', 'C', 'C'
'Am', 'Dm7', 'D7', 'G', 'F', 'C', 'G', 'Am'
'G', 'C', 'Em', 'F', 'G', 'C', 'Em', 'F'
'G', 'C', 'Em', 'F', 'G', 'C', 'Em', 'F'
'C', 'F', 'G#', 'C', 'F', 'G#', 'C', 'C'
'C', 'C', 'C', 'C', 'G', 'G', 'G', 'G'
'C', 'C', 'D', 'D', 'G', 'G', 'C', 'G'
'C', 'D#', 'A#', 'F', 'F#', 'G', 'C', 'D#'
'C', 'C', 'E#', 'F', 'D#', 'C', 'E#', 'F'
'Cb', 'C7', 'G', 'Cb', 'C7', 'G', 'Cb', 'Fb'
'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F'
'G', 'C', 'G', 'C', 'G', 'C', 'Am', 'C'
'C', 'D#', 'F', 'G#', 'F', 'F', 'F', 'F'
'C', 'F', 'G#', 'F', 'Am', 'C', 'G#', 'F'
'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C'
'C', 'C', 'C', 'A', 'G', 'A', 'G', 'C'
'C', 'G', 'Am', 'C', 'G', 'C', 'C', 'G'
'C', 'D#', 'F', 'G#', 'G', 'A#', 'Dm', 'Fm'
'F', 'Am7', 'G', 'Dm7', 'F', 'Am7', 'G', 'Dm7'
'Am', 'E', 'F', 'G', 'Am', 'E', 'F', 'G'
'Dm', 'F', 'C', 'G', 'Dm', 'F', 'C', 'G'
'Am', 'G', 'Am', 'G', 'F', 'Em', 'F', 'Em'
'F', 'C', 'G', 'F', 'F', 'C', 'G', 'Dm'
'Am', 'G', 'C', 'F', 'C', 'F', 'Am', 'F'
'G', 'G', 'G', 'G', 'G', 'G', 'G', 'G'
'Am', 'Em', 'F', 'C', 'Am', 'C', 'F', 'C'
'C', 'D', 'Em', 'Em', 'C', 'Fb', 'Am'
'C', 'G', 'F', 'F', 'G', 'C', 'G', 'F'
'Dm', 'Em', 'F', 'Em', 'Am', 'F', 'Em', 'Am'
'Dm', 'Am', 'Dm', 'F7', 'C', 'Bm', 'E7', 'Dm'
'C', 'C', 'G', 'F', 'C', 'G', 'F', 'C'
'C', 'F', 'C7', 'C7', 'C7', 'C7', 'F', 'C'
'C', 'F', 'Am', 'D', 'F', 'D7', 'C', 'G'
'Dm7', 'C', 'G', 'F', 'C', 'G', 'Dm7', 'G7'
'F', 'C', 'G', 'G', 'Am', 'C', 'G', 'Dm'
'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am'
'F', 'F', 'C', 'Am', 'G', 'F', 'Dm', 'C'
'C', 'F', 'Am', 'F', 'C', 'F', 'C', 'C'
'G', 'F', 'C', 'Am', 'G', 'Dm', 'Am', 'C'
'Am', 'F', 'C', 'Am', 'F', 'C', 'Am', 'C'
'Dm', 'A#', 'G', 'G7', 'A#', 'Dm', 'A#', 'G'
'Dm', 'Dm7', 'Dm', 'D', 'F#', 'Dm', 'D', 'Dm'
'Em', 'A', 'Em', 'A', 'Am7', 'G', 'F', 'Am'
'G', 'C7', 'Em', 'Am', 'G', 'C7', 'Em', 'F'
'F', 'F7', 'Dm', 'G', 'C', 'G', 'C', 'G'
'Dm7', 'Dm', 'A#7', 'Dm', 'Dm', 'Dm7', 'Dm', 'A#7'
'D', 'C', 'D', 'C', 'F', 'Am', 'C', 'D'
'Dm', 'F', 'C', 'G', 'F', 'Dm', 'C', 'G'
'A#', 'D#', 'A#', 'Gm7', 'F', 'C', 'C', 'G'
'C', 'C', 'Am7', 'G', 'C', 'G', 'F', 'Am7'
'F', 'G', 'G', 'Em7', 'G', 'F', 'C', 'G'
'C', 'F7', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em'
'Dm', 'Dm', 'Dm7', 'Dm', 'F', 'A7', 'F7', 'E#'
'Am', 'F7', 'Am', 'F#', 'Dm7', 'A#', 'C', 'C'
'C', 'Dm', 'Am', 'F', 'C', 'Dm', 'Am', 'F'
'Dm', 'F', 'G', 'A#', 'C', 'Dm', 'F', 'G'
'Am', 'Am', 'Am', 'F', 'E7', 'Am', 'Am', 'Am'
'C', 'D#', 'F', 'C', 'D#', 'F', 'C', 'C'
'C', 'Dm', 'Fb', 'Fm', 'C', 'Dm', 'Fb', 'Fm'
'C', 'Am', 'G', 'Dm', 'Am', 'Dm', 'G', 'C'
'C', 'Am', 'G', 'Dm', 'Am', 'A#', 'G', 'C'
'Am', 'F', 'C', 'G', 'C', 'C', 'C', 'G'
'C', 'G', 'C', 'C', 'G', 'C', 'F', 'C'
'C', 'C', 'G', 'C', 'C', 'G', 'F', 'Gm'
'E', 'Fm', 'G', 'Dm', 'Am', 'C', 'F', 'E'
'F', 'A#', 'F', 'Em', 'F', 'G', 'F', 'Em'
'C', 'C', 'C', 'G', 'C', 'C', 'C', 'G'
'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G'
'C', 'F', 'Am', 'G', 'C', 'F', 'Am', 'G'
'C', 'F', 'Am7', 'G', 'C', 'F', 'Am7', 'G'
'Am', 'F', 'C', 'G', 'Am', 'F', 'C', 'G'
'Am7', 'F', 'C', 'G', 'Am7', 'F', 'C', 'G'
'C', 'F', 'C', 'C', 'F', 'G', 'C', 'F'
'C', 'G', 'Am', 'Dm', 'F', 'Am', 'G', 'C'
'C', 'C', 'C', 'G', 'Am', 'Am', 'G', 'F'
'C', 'Am', 'G', 'F', 'C', 'Am', 'G', 'F'
'C', 'F', 'G', 'C', 'F', 'G', 'C', 'F'
'C', 'G7', 'C', 'C', 'G7', 'C', 'C', 'F'
'C', 'D', 'C', 'D', 'C', 'Fb', 'C', 'G'
'G', 'Cb', 'G', 'Cb', 'Fb', 'Cb', 'G', 'Cb'
'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'G', 'C'
'Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'Am', 'Am'
'Am', 'C', 'Am', 'C', 'E', 'F', 'Am', 'C'
'Am', 'C', 'Am', 'C', 'Em', 'F', 'Am', 'C'
'C', 'Em', 'C', 'Em', 'G', 'Am', 'C', 'Em'
'Am', 'Em', 'Am', 'Em', 'F', 'Am', 'Em', 'Am'
'C', 'F', 'G', 'F', 'C', 'F', 'G', 'G'
'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F'
'C', 'F', 'C', 'C', 'F', 'C', 'G', 'Am'
'C', 'F', 'C', 'C', 'F', 'C', 'C', 'F'
'C', 'C', 'C', 'E#', 'C', 'C', 'C', 'C'
'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F'
'G', 'C', 'F', 'G', 'C', 'F', 'G', 'C'
'Am', 'G', 'Dm', 'Am', 'Am', 'G', 'Dm', 'Am'
'Cm', 'G', 'Cm', 'G', 'F', 'Cm', 'F', 'Cm'
